material,number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,max,mean,min
Al1Sr2Ho0.4Ca0.6Cu2O7,6,66.5258764333333,40.8714051230769,50.1392772723708,29.9854602227492,1.5324454681506101,1.586632103521,148.93092,11.6302461538462,49.9223494865557,35.1688291341959,724.616666666667,995.395384615385,686.719101114238,928.0912805146941,1.7314590060676398,1.00979926228477,764.1,689.392307692308,270.884332121459,348.10512268600195,158.333333333333,106.83076923076901,141.082860043643,86.1530618372097,1.70109679682075,1.62943428779634,178,26.7384615384615,62.595704502962704,69.4314424961817,4106.0715,2333.6925384615397,1036.4250046673599,56.264123385574294,1.39129927802406,1.18939978871949,8958.571,1377.69207692308,3490.08328609714,3319.75153219175,61.383333333333304,101.329384615385,31.507916307583198,64.7368568962161,1.3810336478723602,0.756162785600013,138.63,76.5521538461538,52.7899077055033,55.820842202860796,9.59366666666667,5.106,5.749995054279621,1.31490606123122,1.58864805660439,1.52311980955099,16.778,1.89584615384615,5.16156054136946,5.59180636838745,147.671096666667,94.7373892307692,25.5750686894536,1.3037381263974,1.24746158449827,1.01485793710299,399.97342000000003,61.524149230769204,144.836392734515,148.090449753901,2.3333333333333304,2.10769230769231,2.28942848510666,2.0892656774595,1.77213938843753,1.42110629420123,1,0.9846153846153849,0.471404520791032,0.30999141045553696,24.0,24.0,24.0
Al1Sr2Ho0.5Ca0.5Cu2O7.05,6,66.5258764333333,41.7328328429119,50.1392772723708,30.2394219308634,1.5324454681506101,1.5867552768957,148.93092,11.8927969348659,49.9223494865557,36.7650201487598,724.616666666667,996.4946360153259,686.719101114238,929.13753564998,1.7314590060676398,1.0071105435936099,764.1,687.383524904214,270.884332121459,348.13223779245794,158.333333333333,106.850574712644,141.082860043643,86.06082817355541,1.70109679682075,1.63201604315157,178,26.130268199233697,62.595704502962704,69.7575212554199,4106.0715,2380.2739042145604,1036.4250046673599,56.2207616931277,1.39129927802406,1.2018455371487098,8958.571,1372.40808812261,3490.08328609714,3363.39139117306,61.383333333333304,101.85210727969299,31.507916307583198,66.2335846411138,1.3810336478723602,0.764701877558423,138.63,76.8344827586207,52.7899077055033,55.28554390879379,9.59366666666667,5.1521149425287405,5.749995054279621,1.31288267210246,1.58864805660439,1.5254305718306398,16.778,1.88773180076628,5.16156054136946,5.67727397233066,147.671096666667,92.964550881226,25.5750686894536,1.25981679927803,1.24746158449827,0.997311710816154,399.97342000000003,61.28832268199229,144.836392734515,147.785591878469,2.3333333333333304,2.11494252873563,2.28942848510666,2.0954165526006396,1.77213938843753,1.4226906256128897,1,1.00383141762452,0.471404520791032,0.31895257300026697,18.0,18.0,18.0
Ba1.2Sr0.8Yb1Cu3O6.61,5,95.50928,55.8553873116574,73.30718580728309,36.6700058501063,1.41951533835334,1.5527894117231398,157.0546,9.559238699444881,55.077433365704294,51.299740737301505,742.52,996.0183187946069,695.498118340785,931.561217576921,1.5384367244505501,0.9713632303943079,810.6,653.480650277557,296.679324523972,340.289717245226,177.4,115.23235527359199,153.640379072022,90.93438015576722,1.5037495263590903,1.56255747184681,205,20.6026962727994,73.79593484738841,77.28861284035149,4334.2858,3154.27800872324,950.678548875789,75.6196841039788,1.27840421262286,0.957495951116962,8958.571,2130.89249088025,3122.60580482496,3766.21042813036,67.176,109.190245836638,38.8737635112424,83.9764429163537,1.2372404480973502,0.812447666193799,135.97,74.282394924663,54.86853109023421,48.7612609822626,7.4044,5.1124044409199,4.27817941625064,1.3699578222019602,1.38700922099043,1.15452220961643,12.878,3.00020459952419,4.11882476442006,5.437717740177031,98.405316,102.202671990484,12.1172487904442,1.37027221973668,0.678846840891483,0.32524092875101096,399.97342000000003,95.1486364948454,151.427850556757,166.879625154209,2.2,2.07930214115781,2.1689435423953998,2.0653535693850498,1.59416669911802,1.32029798981937,1,0.921490880253767,0.4,0.270209754756555,36.7,36.7,36.7
Ba1.4Sr0.6Yb1Cu3O6.66,5,95.50928,56.483238862559205,73.30718580728309,36.8104681210512,1.41951533835334,1.52454867498799,157.0546,11.0336334913112,55.077433365704294,52.1159211363354,742.52,996.5360189573461,695.498118340785,931.521751855526,1.5384367244505501,0.962119176946595,810.6,664.758767772512,296.679324523972,341.214720143957,177.4,115.503949447077,153.640379072022,90.9122360561458,1.5037495263590903,1.53921322878073,205,23.981042654028396,73.79593484738841,78.0861742968203,4334.2858,3155.7280521327,950.678548875789,74.783856231335,1.27840421262286,0.9508614865541061,8958.571,2122.471,3122.60580482496,3763.67302190301,67.176,109.46271721958901,38.8737635112424,85.3047292853498,1.2372404480973502,0.8132243136107651,135.97,74.6549763033175,54.86853109023421,48.4241874551281,7.4044,5.0930900473933605,4.27817941625064,1.36014664397345,1.38700922099043,1.13955247248901,12.878,2.98747867298578,4.11882476442006,5.43563023604269,98.405316,101.530570521327,12.1172487904442,1.3350024851913402,0.678846840891483,0.31574428696107804,399.97342000000003,94.77274701421801,151.427850556757,166.794076634708,2.2,2.07898894154818,2.1689435423953998,2.06509130366232,1.59416669911802,1.30843146599634,1,0.957345971563981,0.4,0.26972150203734396,43.1,43.1,43.1
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,6,86.2707333333333,54.0125948881789,66.2887449483737,35.9232761484566,1.58204610102376,1.54270176596821,157.0546,16.4293849840256,54.3570612802258,49.3819154557641,717.0,991.873162939297,676.5735073027739,926.0506447556301,1.72715273196474,0.9907662740581009,810.6,667.342012779553,276.77645010609797,342.915262563423,180.166666666667,116.01916932907301,159.730590309845,91.42994319155899,1.7044603631652298,1.5898167248016102,205,29.3210862619808,67.6496283967785,78.1057054892977,3870.2381666666706,3064.7218115016,1031.37522576687,75.4215271720738,1.43821884518029,0.9357859310893559,8958.571,2146.22068051118,3033.5221894057104,3734.6859366098997,56.625,107.90427316293899,26.464619309120497,79.9892339078774,1.28544598805737,0.793631681124174,138.63,74.10107827476041,55.3661848514055,50.459902505786104,7.59366666666667,5.1710415335463304,4.80056262947875,1.3920208019024098,1.60951753850941,1.19699876540394,12.878,3.0233674121405696,3.7836984405326097,5.4541013709912,115.337763333333,106.894832396166,19.3348891563675,1.44456122628172,1.08391535387869,0.45875394309222706,399.97342000000003,95.8328033865815,143.325505291324,167.898400738192,2.1666666666666696,2.05191693290735,2.13982638786733,2.04254725913935,1.77823330579971,1.3452174016939598,1,0.9856230031948879,0.37267799624996506,0.22185933603263602,79.0,79.0,79.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53,6,86.2707333333333,53.9822571428571,66.2887449483737,35.900094505084894,1.58204610102376,1.54277882285022,157.0546,16.4162729449322,54.3570612802258,49.373876699311104,717.0,992.129529130088,676.5735073027739,926.308775479918,1.72715273196474,0.9901123300064191,810.6,667.8573822825219,276.77645010609797,342.898404499056,180.166666666667,115.964884277733,159.730590309845,91.38293620761141,1.7044603631652298,1.5897984203625601,205,29.2976855546688,67.6496283967785,78.09815613154909,3870.2381666666706,3062.2770446927398,1031.37522576687,75.183173026117,1.43821884518029,0.935788682044391,8958.571,2144.50667438148,3033.5221894057104,3734.1974395299603,56.625,107.93188347964899,26.464619309120497,80.02610575476109,1.28544598805737,0.793189640658754,138.63,74.15566640063851,55.3661848514055,50.449223117234105,7.59366666666667,5.167091779728651,4.80056262947875,1.38998277438428,1.60951753850941,1.19708801495124,12.878,3.02077733439745,3.7836984405326097,5.453715509695259,115.337763333333,106.809542490024,19.3348891563675,1.4399623352149298,1.08391535387869,0.458755629734502,399.97342000000003,95.7562994892259,143.325505291324,167.8585195213,2.1666666666666696,2.05187549880287,2.13982638786733,2.04251294446278,1.77823330579971,1.34469813722804,1,0.9864325618515558,0.37267799624996506,0.22177563307727502,78.0,78.0,78.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63,6,86.2707333333333,53.68152193190821,66.2887449483737,35.671104649628504,1.58204610102376,1.54353067406942,157.0546,16.2862945368171,54.3570612802258,49.2931084354095,717.0,994.6708630245449,676.5735073027739,928.871496103066,1.72715273196474,0.9836209739469008,810.6,672.966191607284,276.77645010609797,342.720874688941,180.166666666667,115.426761678543,159.730590309845,90.91826562711609,1.7044603631652298,1.5895944096069399,205,29.0657165479018,67.6496283967785,78.0212376200142,3870.2381666666706,3038.04230166271,1031.37522576687,72.86075446317821,1.43821884518029,0.935816160264839,8958.571,2127.51589311164,3033.5221894057104,3729.2648651988898,56.625,108.205581947743,26.464619309120497,80.3925334852085,1.28544598805737,0.7887927518092241,138.63,74.6967933491686,55.3661848514055,50.3424177474755,7.59366666666667,5.12793824228028,4.80056262947875,1.36994069302396,1.60951753850941,1.19797736464364,12.878,2.99510213776722,3.7836984405326097,5.44973419003434,115.337763333333,105.964071686461,19.3348891563675,1.3951584387553302,1.08391535387869,0.4587724794709,399.97342000000003,94.9979235629454,143.325505291324,167.460317464319,2.1666666666666696,2.05146476642914,2.13982638786733,2.0421728174871903,1.77823330579971,1.33951781358799,1,0.9944576405384009,0.37267799624996506,0.22094375810493302,77.0,77.0,77.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.61,6,86.2707333333333,53.214023314829504,66.2887449483737,35.5099371276552,1.58204610102376,1.54643417674535,157.0546,16.1532117367169,54.3570612802258,48.73833714418,717.0,994.111895321174,676.5735073027739,928.2776709177199,1.72715273196474,0.9860312328288421,810.6,670.895400475813,276.77645010609797,342.820264222976,180.166666666667,115.42268041237101,159.730590309845,90.9617829671737,1.7044603631652298,1.59321178085007,205,28.342585249801697,67.6496283967785,77.9050832202017,3870.2381666666706,3022.9536629659,1031.37522576687,72.8978504311512,1.43821884518029,0.93125317942295,8958.571,2130.89249088025,3033.5221894057104,3724.77352183767,56.625,107.96233148295,26.464619309120497,79.4994756618595,1.28544598805737,0.7849380592262309,138.63,74.57390959555909,55.3661848514055,50.6642676807201,7.59366666666667,5.13904996034893,4.80056262947875,1.3744647074768501,1.60951753850941,1.20139558474431,12.878,3.00020459952419,3.7836984405326097,5.45237032215701,115.337763333333,106.77047532117399,19.3348891563675,1.4130799082841,1.08391535387869,0.4716510143983951,399.97342000000003,95.14863649484529,143.325505291324,167.589580217463,2.1666666666666696,2.0475812846946897,2.13982638786733,2.0389597091673504,1.77823330579971,1.3416177296266,1,0.984932593180016,0.37267799624996506,0.212878618093715,76.0,76.0,76.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,6,86.2707333333333,55.10593876898479,66.2887449483737,36.369294136829,1.58204610102376,1.53278654947597,157.0546,16.7628856914468,54.3570612802258,50.4964996869465,717.0,991.7250999200639,676.5735073027739,925.961008099701,1.72715273196474,0.9875312995007929,810.6,671.5372501998401,276.77645010609797,342.806563335064,180.166666666667,116.29736211031201,159.730590309845,91.5756867560392,1.7044603631652298,1.5779324400962498,205,30.8952837729816,67.6496283967785,78.37586671832659,3870.2381666666706,3107.29838449241,1031.37522576687,76.53957549956358,1.43821884518029,0.9420374110607141,8958.571,2147.93742685851,3033.5221894057104,3745.60962961007,56.625,108.257354116707,26.464619309120497,81.6237705354615,1.28544598805737,0.803048310538155,138.63,74.0773381294964,55.3661848514055,49.86051610062861,7.59366666666667,5.1682829736211,4.80056262947875,1.39291174388284,1.60951753850941,1.18536028905444,12.878,3.02596163069544,3.7836984405326097,5.45085423059426,115.337763333333,105.69328823341299,19.3348891563675,1.43036806690877,1.08391535387869,0.42886050930079295,399.97342000000003,95.90942959232609,143.325505291324,167.83738803482402,2.1666666666666696,2.0599520383693,2.13982638786733,2.0492126378565003,1.77823330579971,1.34048770402853,1,1.00079936051159,0.37267799624996506,0.23739796011059103,66.0,66.0,66.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,6,86.2707333333333,54.58163974763411,66.2887449483737,35.9710851460551,1.58204610102376,1.53414683836842,157.0546,16.5381466876972,54.3570612802258,50.358105622551406,717.0,996.0337539432179,676.5735073027739,930.3076672996359,1.72715273196474,0.9765898438764911,810.6,680.1386435331231,276.77645010609797,342.500998680682,180.166666666667,115.38170347003201,159.730590309845,90.78602796254299,1.7044603631652298,1.57765390490523,205,30.481072555205003,67.6496283967785,78.2439728457604,3870.2381666666706,3065.65817981073,1031.37522576687,72.5616934359042,1.43821884518029,0.9420835487643849,8958.571,2119.121,3033.5221894057104,3737.5249477897705,56.625,108.716443217666,26.464619309120497,82.2358353349362,1.28544598805737,0.7955139351995141,138.63,74.99467665615141,55.3661848514055,49.681486720501795,7.59366666666667,5.10196845425868,4.80056262947875,1.35903492781406,1.60951753850941,1.18687868381201,12.878,2.9824164037854906,3.7836984405326097,5.44399486821836,115.337763333333,104.276621009464,19.3348891563675,1.35594423661344,1.08391535387869,0.428889555696548,399.97342000000003,94.62322126182958,143.325505291324,167.150863386913,2.1666666666666696,2.05914826498423,2.13982638786733,2.0485449040452,1.77823330579971,1.33183938585805,1,1.01419558359621,0.37267799624996506,0.23590198755750802,74.0,74.0,74.0
